hari,pickup_sampah,longitude,latitude
Thursday,Yes,35.7669904986,-78.7812054368
Thursday,Yes,35.7610050396,-78.7813989565
Thursday,Yes,35.6953196622,-78.8009281268
Thursday,Yes,35.6944438664,-78.7987885841
Thursday,Yes,35.734327547,-78.7609275658
Thursday,Yes,35.7266462079,-78.7597682598
Thursday,Yes,35.744801757,-78.7373837654
Thursday,Yes,35.7262882475,-78.769812618
Thursday,Yes,35.6993871775,-78.783738522
Thursday,Yes,35.706865920300004,-78.7881923282
Thursday,Yes,35.7602127742,-78.7962204658
Thursday,Yes,35.7316093674,-78.7584892215
Thursday,Yes,35.813076407,-78.9103454236
Mon,Yes,35.7870346048,-78.8997380427
Mon,Yes,35.8084508487,-78.883807028
Mon,Yes,35.8031444032,-78.8886341472
Mon,Yes,35.8051724917,-78.8771886024
Mon,Yes,35.7614828068,-78.806934881
Mon,Yes,35.7792305738,-78.799257139
Mon,Yes,35.7516293216,-78.7905609535
Mon,Yes,35.7726064748,-78.8201785918
Mon,Yes,35.7650999609,-78.8130758732
Mon,Yes,35.764200771700004,-78.8355184396
Mon,Yes,35.7658457022,-78.8367005384
Mon,Yes,35.761098043800004,-78.8272485251
Mon,Yes,35.769435312199995,-78.7927973183
Mon,Yes,35.756245176,-78.8118624278
Mon,Yes,35.7669433612,-78.8273768847
Mon,Yes,35.7711538121,-78.7938270165
Thursday,No,35.7446317655,-78.7684551719
Mon,No,35.7701986093,-78.8068545286
Wednesday,No,35.7980150868,-78.8076300673
Wednesday,No,35.818688865300004,-78.772839594
Wednesday,No,35.7893383523,-78.7795599161
Tuesday,Yes,35.8318049954,-78.9194064783
Tuesday,Yes,35.8356295195,-78.871491611
Tuesday,Yes,35.7839154385,-78.856889642
Tuesday,Yes,35.7701251174,-78.8487247301
Tuesday,Yes,35.779259607,-78.8563500726
Tuesday,Yes,35.7725669581,-78.8580635017
Tuesday,Yes,35.7944398425,-78.8423827142
Tuesday,Yes,35.7909179252,-78.8511098683
Tuesday,Yes,35.822939638,-78.8611728276
Tuesday,Yes,35.8177960877,-78.8634600929
Mon,Yes,35.7712523625,-78.7830136375
Mon,Yes,35.7738866268,-78.8241659635
Wednesday,Yes,35.8455202738,-78.9046994207
Wednesday,Yes,35.8412909785,-78.8989842731
Wednesday,Yes,35.8397412302,-78.9162809981
Wednesday,Yes,35.8393001253,-78.901535742
Wednesday,Yes,35.7844927374,-78.7811121262
Wednesday,Yes,35.7856790927,-78.7969500403
Wednesday,Yes,35.7868903875,-78.7917869264
Wednesday,Yes,35.8012947506,-78.7873212646
Wednesday,Yes,35.802806441,-78.7880943139
Wednesday,Yes,35.7803858179,-78.789542355
Wednesday,Yes,35.7749873202,-78.769477401
Wednesday,Yes,35.7839892591,-78.8002580712
Wednesday,Yes,35.8083704227,-78.7750036773
Wednesday,Yes,35.8171491305,-78.7793504612
Wednesday,Yes,35.8287016602,-78.7769599038
Wednesday,Yes,35.794713925500005,-78.7684011136
Wednesday,Yes,35.7919473432,-78.7680807783
Wednesday,Yes,35.8074718759,-78.785488008
Wednesday,Yes,35.795949157399995,-78.7801171455
Wednesday,Yes,35.8092164898,-78.7955207458
Wednesday,Yes,35.805423517399994,-78.8008228845
Wednesday,Yes,35.7840298827,-78.7755811996
Wednesday,Yes,35.81553545,-78.7810351368
Wednesday,Yes,35.8328362602,-78.7795955247
Wednesday,Yes,35.7896962521,-78.7871636215
Wednesday,Yes,35.7890213938,-78.7876318594
Wednesday,Yes,35.7896435086,-78.7761058868
Wednesday,Yes,35.7868633923,-78.7809812882
Thursday,No,35.7625473027,-78.7805530839
Wednesday,No,35.8085419963,-78.7902922575
Thursday,Yes,35.8118680429,-78.9135233089
Thursday,Yes,35.6652357384,-78.755953347
Thursday,Yes,35.7570129448,-78.7809087324
Thursday,Yes,35.692969502800004,-78.7870335434
Thursday,Yes,35.7676493545,-78.7719310735
Thursday,Yes,35.7695505036,-78.7740812976
Thursday,Yes,35.7238820331,-78.766106694
Thursday,Yes,35.7187557066,-78.774598925
Thursday,Yes,35.7200217732,-78.7893318563
Thursday,Yes,35.7504204438,-78.7565181618
Thursday,Yes,35.7135990834,-78.8063004702
Thursday,Yes,35.7114079138,-78.7894224065
Thursday,Yes,35.6969535685,-78.7895308467
Mon,Yes,35.8074638671,-78.8873303185
Mon,Yes,35.794039807,-78.8790310978
Mon,Yes,35.7939277355,-78.8716725048
Mon,Yes,35.8023547076,-78.874103395
Mon,Yes,35.7664193903,-78.8025018653
Mon,Yes,35.7497839978,-78.8123696898
Mon,Yes,35.7707043209,-78.832271585
Mon,Yes,35.7791445369,-78.7987129117
Mon,Yes,35.7808323348,-78.8127263218
Mon,Yes,35.7760433274,-78.8144440038
Mon,Yes,35.7748461174,-78.8025943657
Mon,Yes,35.7447338066,-78.8077553613
Mon,Yes,35.7681994699,-78.8190038303
Mon,Yes,35.7599869218,-78.816814053
Mon,Yes,35.7707810747,-78.8411445491
Mon,Yes,35.7486629047,-78.7951194105
Mon,Yes,35.763305668,-78.8286356198
Mon,Yes,35.7605055593,-78.7919791874
Thursday,No,35.7290342758,-78.7954107139
Wednesday,No,35.8005668289,-78.7907372462
Wednesday,No,35.774547641,-78.7680444291
Tuesday,Yes,35.8223074696,-78.8960205464
Tuesday,Yes,35.8242129979,-78.892873826
Tuesday,Yes,35.8221593703,-78.8914478051
Tuesday,Yes,35.7934957231,-78.869179177
Tuesday,Yes,35.785735581,-78.8523863731
Tuesday,Yes,35.7823903193,-78.8527647857
Tuesday,Yes,35.7713554904,-78.8489174309
Tuesday,Yes,35.7944055193,-78.8158542791
Tuesday,Yes,35.7881563867,-78.8201766314
Tuesday,Yes,35.8062109646,-78.8565800935
Tuesday,Yes,35.770331141,-78.8634501296
Tuesday,Yes,35.8091260224,-78.8656781711
Tuesday,Yes,35.8045508324,-78.8656179306
Tuesday,Yes,35.781737033,-78.8707401689
Tuesday,Yes,35.8342103728,-78.8539708619
Thursday,Yes,35.7737589144,-78.7820494831
Mon,Yes,35.7702418069,-78.8016916364
Wednesday,Yes,35.8494484947,-78.9055610616
Wednesday,Yes,35.7932353622,-78.7854107791
Wednesday,Yes,35.7816447934,-78.7633605259
Wednesday,Yes,35.773289045300004,-78.7920014846
Wednesday,Yes,35.7834459141,-78.7890278247
Wednesday,Yes,35.7710643512,-78.7678393571
Wednesday,Yes,35.814884211300004,-78.7765006501
Wednesday,Yes,35.7696407832,-78.7434396652
Wednesday,Yes,35.8226669104,-78.7916568841
Wednesday,Yes,35.7907701487,-78.7822400026
Wednesday,Yes,35.8016432277,-78.7919216086
Wednesday,Yes,35.8138119846,-78.7969337618
Wednesday,Yes,35.7848702442,-78.7932087575
Wednesday,Yes,35.8012349331,-78.7859751265
Wednesday,Yes,35.7995664457,-78.7966640666
Wednesday,Yes,35.7924061746,-78.7858318092
Wednesday,Yes,35.7901755914,-78.8001432318
Wednesday,Yes,35.792488271,-78.7754304167
Wednesday,Yes,35.8152167744,-78.7854068745
Mon,No,35.782329899699995,-78.8058998085
Thursday,Yes,35.8076093811,-78.9093556265
Thursday,Yes,35.7982655557,-78.91323351
Thursday,Yes,35.804398923600004,-78.9217291602
Thursday,Yes,35.817836730100005,-78.9088277425
Thursday,Yes,35.6592816691,-78.7580213178
Thursday,Yes,35.7680732159,-78.7702711369
Thursday,Yes,35.761316055900004,-78.7744742807
Thursday,Yes,35.7655152267,-78.7708430295
Thursday,Yes,35.7565710235,-78.7650092224
Thursday,Yes,35.7365346304,-78.7678669969
Thursday,Yes,35.7450166424,-78.7566569426
Thursday,Yes,35.7447810054,-78.7725544799
Thursday,Yes,35.716258458,-78.7885350317
Thursday,Yes,35.7105211383,-78.7951900388
Thursday,Yes,35.7587553483,-78.7917523968
Thursday,Yes,35.7250907269,-78.791513664
Thursday,Yes,35.7329772123,-78.7767578498
Thursday,Yes,35.7596393924,-78.7461947615
Mon,Yes,35.7800513789,-78.8999971836
Mon,Yes,35.7839331677,-78.875037445
Mon,Yes,35.7529519201,-78.8062921179
Mon,Yes,35.7505832231,-78.8117494058
Mon,Yes,35.756711167,-78.8216561256
Mon,Yes,35.7695185931,-78.7892102726
Mon,Yes,35.7609974764,-78.7902516902
Mon,Yes,35.7712991813,-78.8027577509
Mon,Yes,35.7823842073,-78.834366793
Thursday,No,35.6579105084,-78.7602615423
Mon,No,35.7816694054,-78.8262014447
Tuesday,Yes,35.8306583949,-78.9122783212
Tuesday,Yes,35.818053489,-78.8834491355
Tuesday,Yes,35.8663055388,-78.8918132055
Tuesday,Yes,35.8311095828,-78.8458138159
Tuesday,Yes,35.8285761422,-78.8965429665
Tuesday,Yes,35.8277846285,-78.9090897963
Tuesday,Yes,35.7924953204,-78.864762807
Tuesday,Yes,35.8101299657,-78.8549318071
Tuesday,Yes,35.8190869248,-78.8584075339
Tuesday,Yes,35.8081383382,-78.86822281
Tuesday,Yes,35.7909002368,-78.8535910937
Tuesday,Yes,35.788424272,-78.8269173442
Wednesday,Yes,35.8386869843,-78.9243590849
Wednesday,Yes,35.7803032204,-78.7749313905
Wednesday,Yes,35.7827731689,-78.7696040366
Wednesday,Yes,35.793348913,-78.7845324334
Wednesday,Yes,35.7782580112,-78.7853258511
Wednesday,Yes,35.794683617,-78.7966911658
Wednesday,Yes,35.7897197916,-78.7973072067
Wednesday,Yes,35.7981871692,-78.7869764341
Wednesday,Yes,35.793273890100004,-78.7875329266
Wednesday,Yes,35.767515023,-78.7437510935
Wednesday,Yes,35.7666612654,-78.7446986388
Wednesday,Yes,35.7602450217,-78.7588202795
Wednesday,Yes,35.7654257003,-78.7511987031
Wednesday,Yes,35.7919870904,-78.7818715213
Wednesday,Yes,35.8007406614,-78.8000237035
Wednesday,Yes,35.79998149,-78.7655993173
Wednesday,Yes,35.7983765904,-78.7578908493
Wednesday,Yes,35.778209015,-78.7778395371
Wednesday,Yes,35.7835597858,-78.7688412331
Wednesday,Yes,35.7995889659,-78.7722229364
Wednesday,Yes,35.7865671909,-78.7930540545
Thursday,No,35.746317146500004,-78.7668659362
Mon,No,35.7648254214,-78.7914931843
Wednesday,No,35.8133233275,-78.7874384919
Thursday,Yes,35.8016669753,-78.8943693967
Thursday,Yes,35.8010698462,-78.8943236283
Thursday,Yes,35.7563111277,-78.7801093393
Thursday,Yes,35.6914093947,-78.7889574875
Thursday,Yes,35.7736941345,-78.7806131515
Thursday,Yes,35.7437722348,-78.7550218894
Thursday,Yes,35.7450687282,-78.739353278
Thursday,Yes,35.7378102331,-78.747496892
Thursday,Yes,35.7213239996,-78.7778320134
Thursday,Yes,35.7456064508,-78.7615570548
Thursday,Yes,35.752640014200004,-78.7749699539
Thursday,Yes,35.7501536683,-78.7775533063
Thursday,Yes,35.7201935995,-78.8029259718
Thursday,Yes,35.7072803638,-78.7976530653
Thursday,Yes,35.7020641306,-78.7905538156
Thursday,Yes,35.7103163165,-78.8015887516
Thursday,Yes,35.7489832492,-78.7811116727
Thursday,Yes,35.7430591422,-78.7736605274
Thursday,Yes,35.7271752533,-78.7707743113
Mon,Yes,35.778731138000005,-78.8895123665
Mon,Yes,35.7985876525,-78.8900854905
Mon,Yes,35.7813650367,-78.8434485103
Mon,Yes,35.7791600321,-78.8042006039
Mon,Yes,35.7632846129,-78.7963460189
Mon,Yes,35.7700578323,-78.7981651251
Mon,Yes,35.7742692756,-78.8206934679
Mon,Yes,35.772811578,-78.8262619575
Mon,Yes,35.7642958118,-78.8179335875
Mon,Yes,35.766299483000004,-78.8295070267
Mon,Yes,35.761186931,-78.8270790792
Mon,Yes,35.7485668188,-78.7929929826
Wednesday,No,35.785804897,-78.7543047218
Tuesday,Yes,35.8250111887,-78.9060459889
Tuesday,Yes,35.7885881435,-78.8588829373
Tuesday,Yes,35.816948498,-78.8132414498
Tuesday,Yes,35.8143676679,-78.8186009696
Tuesday,Yes,35.8216146361,-78.8112968585
Tuesday,Yes,35.7933810126,-78.8138620577
Tuesday,Yes,35.8027472685,-78.8414941875
Tuesday,Yes,35.8219737995,-78.866496199
Tuesday,Yes,35.7858411074,-78.8568851199
Tuesday,Yes,35.8331525893,-78.8501638701
Wednesday,Yes,35.8437447752,-78.9043663516
Wednesday,Yes,35.7864155374,-78.7731813756
Wednesday,Yes,35.780880156500004,-78.7669472731
Wednesday,Yes,35.7785697212,-78.7640182726
Wednesday,Yes,35.7873186101,-78.7854200214
Wednesday,Yes,35.7871759064,-78.7874107794
Wednesday,Yes,35.8156941098,-78.7700726667
Wednesday,Yes,35.8263320752,-78.7782920894
Wednesday,Yes,35.7675235224,-78.7533518466
Wednesday,Yes,35.7913927144,-78.7824705409
Wednesday,Yes,35.7914513766,-78.7743968778
Wednesday,Yes,35.8012961713,-78.8049993747
Wednesday,Yes,35.8011051445,-78.8042578635
Wednesday,Yes,35.7934146512,-78.7519400651
Wednesday,Yes,35.7971416648,-78.7462417054
Wednesday,Yes,35.8073145077,-78.7672529892
Wednesday,Yes,35.8011393197,-78.7450644545
Wednesday,Yes,35.830253484699995,-78.7760090509
Wednesday,Yes,35.79966352,-78.7468866474
Wednesday,Yes,35.8059709047,-78.7991827162
Wednesday,Yes,35.7822581438,-78.776129273
Wednesday,Yes,35.791303524499995,-78.7613835458
Wednesday,Yes,35.7891615918,-78.7835075393
Wednesday,Yes,35.792013411300005,-78.8017131111
Wednesday,Yes,35.8161716659,-78.784648464
Thursday,No,35.7235193399,-78.7829575503
Thursday,Yes,35.8111440224,-78.9011724343
Thursday,Yes,35.8082507718,-78.9001393673
Thursday,Yes,35.7944651924,-78.9202805619
Thursday,Yes,35.8063991742,-78.9152769022
Thursday,Yes,35.8145527072,-78.917828162
Thursday,Yes,35.6562605648,-78.7551900481
Thursday,Yes,35.6937333116,-78.7823908141
Thursday,Yes,35.7661145787,-78.7724138034
Thursday,Yes,35.771973436,-78.7733419691
Thursday,Yes,35.7307399543,-78.7566797126
Thursday,Yes,35.7522383283,-78.7601428047
Thursday,Yes,35.7433367327,-78.7674542118
Thursday,Yes,35.7120538259,-78.7936096924
Thursday,Yes,35.7033584301,-78.7879431269
Thursday,Yes,35.742194697399995,-78.7777588828
Thursday,Yes,35.7479028586,-78.7622477639
Mon,Yes,35.8040702039,-78.885353806
Mon,Yes,35.7538311854,-78.8023622536
Mon,Yes,35.7786392809,-78.7973399576
Mon,Yes,35.7767006866,-78.8084251611
Mon,Yes,35.7600509628,-78.7997431843
Mon,Yes,35.7816940721,-78.8082151864
Mon,Yes,35.7761335151,-78.8312006767
Mon,Yes,35.7725182649,-78.811199067
Mon,Yes,35.7484142598,-78.7936377257
Mon,Yes,35.766358671199995,-78.794276141
Mon,Yes,35.7650631302,-78.8261064272
Wednesday,No,35.8000256504,-78.7825018171
Tuesday,Yes,35.8268836257,-78.9175610678
Tuesday,Yes,35.8211579466,-78.922397562
Tuesday,Yes,35.8300361166,-78.9138134734
Tuesday,Yes,35.8287563364,-78.8437713136
Tuesday,Yes,35.8263386016,-78.8930331083
Tuesday,Yes,35.7858621375,-78.8485129881
Tuesday,Yes,35.7840151093,-78.8643292929
Tuesday,Yes,35.7971346128,-78.8489342246
Tuesday,Yes,35.7998033308,-78.8533269548
Tuesday,Yes,35.7717629317,-78.8636558682
Tuesday,Yes,35.8214236024,-78.8688551456
Tuesday,Yes,35.8066842713,-78.8667773403
Tuesday,Yes,35.7911083125,-78.8347964738
Tuesday,Yes,35.7948606207,-78.8217415878
Mon,Yes,35.7764725088,-78.8248399547
Thursday,Yes,35.745636127,-78.7724644369
Wednesday,Yes,35.8341923106,-78.903309735
Wednesday,Yes,35.839784098,-78.9006388093
Wednesday,Yes,35.7852438469,-78.7856966074
Wednesday,Yes,35.7832095866,-78.7874821499
Wednesday,Yes,35.7836727901,-78.7635802833
Wednesday,Yes,35.7910563363,-78.7868408992
Wednesday,Yes,35.7817820771,-78.7794881279
Wednesday,Yes,35.7749121258,-78.791474848
Wednesday,Yes,35.795128289000004,-78.7845735541
Wednesday,Yes,35.8188217489,-78.7811429609
Wednesday,Yes,35.8153755844,-78.7911424483
Wednesday,Yes,35.819281203,-78.7942428028
Wednesday,Yes,35.7934010779,-78.7819721236
Wednesday,Yes,35.7975293969,-78.7737388029
Wednesday,Yes,35.8044832508,-78.8068597298
Wednesday,Yes,35.8052412365,-78.8023195421
Wednesday,Yes,35.7942967934,-78.7481073127
Wednesday,Yes,35.7948972275,-78.748611862
Wednesday,Yes,35.7736007004,-78.7623363668
Wednesday,Yes,35.796769329,-78.7714608585
Wednesday,Yes,35.7856129339,-78.7909124465
Wednesday,Yes,35.7814452287,-78.7781424501
Wednesday,Yes,35.7995511099,-78.773569734
Wednesday,Yes,35.7858217915,-78.7742770261
Thursday,Yes,35.7473446612,-78.7385721988
Wednesday,Yes,35.7887546725,-78.7710200201
Wednesday,Yes,35.7806643101,-78.7794698807
Wednesday,Yes,35.7982205556,-78.7824825663
